eBird English Name 2023,eBird English Name 2022,eBird Scientific Name 2022,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,Order,Family,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,One Percent Population Threshold
Fulvous Whistling-Duck,Fulvous Whistling-Duck,Dendrocygna bicolor,Low,Insufficient Data,Trend Inconclusive,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-I,,Appendix II,500
Lesser Whistling-Duck,Lesser Whistling-Duck,Dendrocygna javanica,Low,Stable,Stable,Very Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,10000
Bar-headed Goose,Bar-headed Goose,Anser indicus,Moderate,Trend Inconclusive,Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Graylag Goose,Graylag Goose,Anser anser,Low,Trend Inconclusive,Trend Inconclusive,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,250
Greater White-fronted Goose,Greater White-fronted Goose,Anser albifrons,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Lesser White-fronted Goose,Lesser White-fronted Goose,Anser erythropus,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,,Appendix I,
Taiga Bean-Goose,Taiga Bean-Goose,Anser fabalis,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Tundra Bean-Goose,Tundra Bean-Goose,Anser serrirostris,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Red-breasted Goose,Red-breasted Goose,Branta ruficollis,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,Appendix II,Appendix I,
Mute Swan,Mute Swan,Cygnus olor,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Tundra Swan,Tundra Swan,Cygnus columbianus,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Whooper Swan,Whooper Swan,Cygnus cygnus,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Knob-billed Duck,Knob-billed Duck,Sarkidiornis melanotos,Low,Trend Inconclusive,Trend Inconclusive,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,250
Ruddy Shelduck,Ruddy Shelduck,Tadorna ferruginea,High,Decline,Rapid Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,500
Common Shelduck,Common Shelduck,Tadorna tadorna,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000
Cotton Pygmy-Goose,Cotton Pygmy-Goose,Nettapus coromandelianus,Moderate,Rapid Decline,Decline,Very Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-I,,Appendix II,1000
Mandarin Duck,Mandarin Duck,Aix galericulata,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Baikal Teal,Baikal Teal,Sibirionetta formosa,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix I,
Garganey,Garganey,Spatula querquedula,High,Rapid Decline,Rapid Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Northern Shoveler,Northern Shoveler,Spatula clypeata,High,Rapid Decline,Rapid Decline,Very Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Gadwall,Gadwall,Mareca strepera,Moderate,Trend Inconclusive,Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,3000
Falcated Duck,Falcated Duck,Mareca falcata,Moderate,Insufficient Data,Insufficient Data,Restricted,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Near Threatened,Schedule-II,,Appendix II,
Eurasian Wigeon,Eurasian Wigeon,Mareca penelope,Moderate,Decline,Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,2500
