year,day,species,location,c1,c2,c3,festival
2024,1,Fulvous Whistling-Duck,Azara ,,30,,before
2024,1,Lesser Whistling-Duck,Azara ,,40,,before
2024,1,Bar-headed Goose,Azara ,,,,before
2024,1,Graylag Goose,Azara ,,34,25,before
2024,1,Garganey,Azara ,,,8,before
2024,1,Northern Shoveler,Azara ,,,,before
2024,1,Gadwall,Azara ,,35,,before
2024,1,Eurasian Wigeon,Azara ,,,,before
2024,1,Northern Pintail,Azara ,,,,before
2024,1,Red-crested Pochard,Azara ,,,,before
2024,1,Common Pochard,Azara ,,45,,before
2024,1,Ferruginous Duck,Azara ,,30,7,before
2024,1,Tufted Duck,Azara ,,30,,before
2024,1,duck sp.,Azara ,,,1000,before
2024,1,Great Crested Grebe,Azara ,,,,before
2024,1,Little Grebe,Azara ,,4,,before
2024,1,Spotted Dove,Azara ,,2,1,before
2024,1,Yellow-footed Green-Pigeon,Azara ,3,,,before
2024,1,Greater Coucal,Azara ,,,,before
2024,1,Plaintive Cuckoo,Azara ,,,,before
2024,1,Common Hawk-Cuckoo,Azara ,,,,before
2024,1,Asian Palm Swift,Azara ,,,,before
2024,1,Eurasian Moorhen,Azara ,,,2,before
2024,1,Eurasian Coot,Azara ,,4,3,before
2024,1,Gray-headed Swamphen,Azara ,1,,,before
2024,1,White-breasted Waterhen,Azara ,,,,before
2024,1,Black-winged Stilt,Azara ,,,,before
2024,1,Little Ringed Plover,Azara ,,,,before
2024,1,Northern Lapwing,Azara ,,26,,before
2024,1,Gray-headed Lapwing,Azara ,,,50,before
2024,1,Red-wattled Lapwing,Azara ,2,2,,before
2024,1,Pheasant-tailed Jacana,Azara ,,,,before
2024,1,Bronze-winged Jacana,Azara ,3,6,,before
2024,1,Common Sandpiper,Azara ,,,,before
2024,1,Green Sandpiper,Azara ,1,,,before
2024,1,Wood Sandpiper,Azara ,,,,before
2024,1,Common Redshank,Azara ,,,,before
2024,1,Spotted Redshank,Azara ,,,,before
2024,1,Temminck's Stint,Azara ,,,,before
2024,1,Brown-headed Gull,Azara ,,,,before
2024,1,Asian Openbill,Azara ,,2,2,before
2024,1,Lesser Adjutant,Azara ,1,1,2,before
2024,1,Greater Adjutant,Azara ,,,,before
2024,1,Oriental Darter,Azara ,,,,before
2024,1,Little Cormorant,Azara ,1,8,11,before
2024,1,Great Cormorant,Azara ,,1,1,before
2024,1,Little Egret,Azara ,1,4,,before
2024,1,Indian Pond-Heron,Azara ,4,15,8,before
2024,1,Eastern Cattle Egret,Azara ,5,20,2,before
2024,1,Great Egret,Azara ,,,,before
2024,1,Medium Egret,Azara ,2,2,5,before
2024,1,Gray Heron,Azara ,,,,before
2024,1,Purple Heron,Azara ,,,,before
2024,1,Glossy Ibis,Azara ,,,5,before
2024,1,Changeable Hawk-Eagle,Azara ,,,,before
2024,1,Booted Eagle,Azara ,,1,,before
2024,1,Black Kite,Azara ,50,16,100,before
2024,1,Spotted Owlet,Azara ,,,,before
2024,1,Common Kingfisher,Azara ,1,,,before
2024,1,Stork-billed Kingfisher,Azara ,,,,before
2024,1,White-throated Kingfisher,Azara ,1,2,2,before
2024,1,Indochinese Roller,Azara ,,1,,before
2024,1,Lineated Barbet,Azara ,1,,,before
2024,1,Blue-throated Barbet,Azara ,,,,before
2024,1,Fulvous-breasted Woodpecker,Azara ,,,,before
2024,1,Eurasian Kestrel,Azara ,,,,before
2024,1,Rose-ringed Parakeet,Azara ,2,3,,before
2024,1,Black-hooded Oriole,Azara ,1,,,before
2024,1,Black Drongo,Azara ,2,5,3,before
2024,1,Ashy Drongo,Azara ,,,,before
2024,1,Brown Shrike,Azara ,,,,before
2024,1,Long-tailed Shrike,Azara ,,,,before
2024,1,Gray-backed Shrike,Azara ,,,,before
2024,1,House Crow,Azara ,50,20,10,before
2024,1,Large-billed Crow,Azara ,,,,before
2024,1,Bengal Bushlark,Azara ,4,30,20,before
2024,1,Common Tailorbird,Azara ,2,,,before
2024,1,Plain Prinia,Azara ,3,,2,before
2024,1,Zitting Cisticola,Azara ,10,20,17,before
2024,1,Thick-billed Warbler,Azara ,2,1,,before
2024,1,Blyth's Reed Warbler,Azara ,,,,before
2024,1,Pallas's Grasshopper Warbler,Azara ,,,,before
2024,1,Striated Grassbird,Azara ,2,7,7,before
2024,1,Gray-throated Martin,Azara ,10,30,,before
2024,1,Bank Swallow,Azara ,,100,50,before
2024,1,Barn Swallow,Azara ,2,50,100,before
2024,1,Striated Swallow,Azara ,,,,before
2024,1,Streak-throated Swallow,Azara ,,,,before
2024,1,Red-vented Bulbul,Azara ,,2,4,before
2024,1,Dusky Warbler,Azara ,1,8,3,before
2024,1,Indian Pied Starling,Azara ,2,,2,before
2024,1,Chestnut-tailed Starling,Azara ,,,,before
2024,1,Common Myna,Azara ,4,10,14,before
2024,1,Bank Myna,Azara ,,,,before
2024,1,Jungle Myna,Azara ,4,6,5,before
2024,1,Great Myna,Azara ,,2,3,before
2024,1,Oriental Magpie-Robin,Azara ,,,,before
2024,1,Bluethroat,Azara ,,1,,before
2024,1,Taiga Flycatcher,Azara ,,,,before
2024,1,Siberian Stonechat,Azara ,,,,before
2024,1,Baya Weaver,Azara ,,,,before
2024,1,Scaly-breasted Munia,Azara ,,,,before
2024,1,House Sparrow,Azara ,4,6,,before
2024,1,Gray Wagtail,Azara ,,1,,before
2024,1,Eastern Yellow Wagtail,Azara ,,,,before
2024,1,Citrine Wagtail,Azara ,5,50,30,before
2024,1,White Wagtail,Azara ,,2,3,before
2024,1,Richard's Pipit,Azara ,,,,before
2024,1,Paddyfield Pipit,Azara ,1,16,14,before
2024,1,Rosy Pipit,Azara ,,,,before
2024,1,Olive-backed Pipit,Azara ,,,,before
2024,1,Fulvous Whistling-Duck,Dharapur,,,175,before
2024,1,Lesser Whistling-Duck,Dharapur,123,238,,before
2024,1,Bar-headed Goose,Dharapur,,,,before
2024,1,Graylag Goose,Dharapur,6,9,4,before
2024,1,Garganey,Dharapur,,,,before
2024,1,Northern Shoveler,Dharapur,,94,47,before
2024,1,Gadwall,Dharapur,,,,before
2024,1,Eurasian Wigeon,Dharapur,1,,,before
2024,1,Northern Pintail,Dharapur,,,,before
2024,1,Red-crested Pochard,Dharapur,19,,,before
2024,1,Common Pochard,Dharapur,,,,before
2024,1,Ferruginous Duck,Dharapur,,19,,before
2024,1,Tufted Duck,Dharapur,,,,before
2024,1,duck sp.,Dharapur,,,,before
2024,1,Great Crested Grebe,Dharapur,,,,before
2024,1,Little Grebe,Dharapur,22,17,11,before
2024,1,Spotted Dove,Dharapur,2,2,3,before
2024,1,Yellow-footed Green-Pigeon,Dharapur,,,,before
2024,1,Greater Coucal,Dharapur,,,,before
2024,1,Plaintive Cuckoo,Dharapur,1,1,,before
2024,1,Common Hawk-Cuckoo,Dharapur,,,,before
2024,1,Asian Palm Swift,Dharapur,,,,before
2024,1,Eurasian Moorhen,Dharapur,,,2,before
2024,1,Eurasian Coot,Dharapur,,,,before
2024,1,Gray-headed Swamphen,Dharapur,54,47,,before
2024,1,White-breasted Waterhen,Dharapur,1,,,before
2024,1,Black-winged Stilt,Dharapur,,,,before
2024,1,Little Ringed Plover,Dharapur,,,5,before
2024,1,Northern Lapwing,Dharapur,,,,before
2024,1,Gray-headed Lapwing,Dharapur,,,,before
2024,1,Red-wattled Lapwing,Dharapur,7,,22,before
2024,1,Pheasant-tailed Jacana,Dharapur,6,9,,before
2024,1,Bronze-winged Jacana,Dharapur,11,2,1,before
2024,1,Common Sandpiper,Dharapur,1,,,before
2024,1,Green Sandpiper,Dharapur,,,,before
2024,1,Wood Sandpiper,Dharapur,4,10,77,before
2024,1,Common Redshank,Dharapur,,,,before
